ID	3fm	360magazine	bright	kidsweek	nos	nrc	sevendays
Int Int V	0	4	0	4	0	0	0
Adj Conj Pron	189	13	6	4	3444	154	8
V Conj V	161	34	4	14	6630	167	14
<s> Adv Adj	91	0	0	2	1413	60	3
V Pron Num	78	4	2	3	1181	21	5
Conj Adj </s>	0	0	3	0	0	43	0
Art Num Prep	0	0	0	0	1191	0	6
Adj Adj Prep	306	13	3	6	3704	111	14
V Art Pron	0	4	0	3	0	0	0
Adv Adj Num	0	0	2	0	0	0	0
<s> Adv Adv	127	0	3	3	1723	62	3
Adj Adj Misc	140	6	2	4	1136	0	2
V Pron Prep	423	20	7	13	8427	330	10
Num Adj N	241	16	3	6	3687	47	3
Conj Conj Pron	0	0	4	0	0	50	4
V Adj </s>	84	7	2	5	1784	60	3
N Conj V	346	28	8	8	8583	152	11
Num Adj </s>	70	4	3	0	0	0	0
N Prep Adj	395	52	8	9	10851	140	9
Adv Int Int	0	0	0	2	0	0	0
V Adj Adj	88	7	0	5	1848	42	6
Adj V V	313	64	6	15	11811	283	15
V Adj Adv	118	5	5	4	2432	50	3
Punc </s> <s>	0	13	0	0	0	0	0
N Prep Adv	124	11	3	6	3308	53	2
Conj Art Pron	0	0	0	0	0	40	2
Num Adj V	80	10	0	0	1911	33	0
Conj Art Num	0	4	0	0	1245	0	0
<s> Pron Art	0	0	1	0	0	28	0
Adv Adv Prep	505	25	12	11	10158	287	17
N Conj N	417	59	9	11	11511	135	20
Adj N V	1029	110	24	35	32390	493	38
Conj V Conj	0	0	0	4	1551	46	0
V Adv Adj	393	31	11	20	10118	211	15
Int Prep Pron	0	0	0	2	0	0	0
Pron Conj Adj	0	0	0	0	0	28	0
<s> <s> Misc	179	15	0	0	0	0	2
Num Adv Adv	0	0	0	0	0	0	3
Pron Conj Adv	0	0	0	0	0	34	0
Adj Prep Num	162	7	3	0	2997	0	0
Pron Adv Art	113	4	4	5	1947	94	6
V Adv Adv	900	55	14	27	17373	392	23
Pron N Conj	213	21	2	2	4559	176	10
N Num </s>	333	5	4	0	1165	0	0
N Prep Pron	728	65	22	11	16548	568	27
Adv Art N	683	34	13	15	15112	320	24
Art Adv Adj	122	0	2	2	2288	76	2
<s> Int Prep	0	0	2	0	0	0	0
Int Int Prep	61	4	0	0	0	0	0
Art Adv Adv	104	0	3	2	1925	51	2
Adv V V	276	34	14	13	11354	279	8
V Pron Art	318	7	4	13	4661	191	14
Adv Art V	0	0	0	0	1241	26	4
